text,processed_text,category
I haven't received my card and am worried it is lost.,i haven t received my card and am worried it is lost,card_arrival
My card still hasn't been delivered,my card still hasn t been delivered,card_arrival
I need to find out where the card is that I ordered.,i need to find out where the card is that i ordered,card_arrival
Where is my credit card that was to be mailed?,where is my credit card that was to be mailed,card_arrival
I ordered my card but it hasn't been delivered yet,i ordered my card but it hasn t been delivered yet,card_arrival
Am I able to track the card that was just sent to me?,am i able to track the card that was just sent to me,card_arrival
Can you tell me why I haven't received my new card?,can you tell me why i haven t received my new card,card_arrival
I'm still waiting for my new card.,i m still waiting for my new card,card_arrival
Is my card lost? I am still waiting for it to be delivered.,is my card lost i am still waiting for it to be delivered,card_arrival
Should I keep waiting for my card to be delivered?,should i keep waiting for my card to be delivered,card_arrival
Can I track when my card will be delivered?,can i track when my card will be delivered,card_arrival
How can I check on the status of my new card?,how can i check on the status of my new card,card_arrival
"A card has been sent to me, how do I track it?",a card has been sent to me how do i track it,card_arrival
Is there a way I can get my card expedited?,is there a way i can get my card expedited,card_arrival
What can I do to track the card you sent me?,what can i do to track the card you sent me,card_arrival
why hasnt my card come in yet?,why hasnt my card come in yet,card_arrival
How can I periodically check the delivery of the card you sent?,how can i periodically check the delivery of the card you sent,card_arrival
What's the reason my new card hasn't come?,what s the reason my new card hasn t come,card_arrival
How long does it take for me to get my new card?,how long does it take for me to get my new card,card_arrival
I don't have my card after 1 week. What are my next steps?,i don t have my card after week what are my next steps,card_arrival
I know I'm getting a new card but would like know when I can expect to receive it.,i know i m getting a new card but would like know when i can expect to receive it,card_arrival
I want to find out what happened to my new card?,i want to find out what happened to my new card,card_arrival
Was there a way for me to get tracking for that?,was there a way for me to get tracking for that,card_arrival
I am still waiting for my card.,i am still waiting for my card,card_arrival
My card hasn't arrived.,my card hasn t arrived,card_arrival
Can I track the card you sent to me?,can i track the card you sent to me,card_arrival
I haven't gotten my new card.,i haven t gotten my new card,card_arrival
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,how long should it take for my new card to arrive in them mail what should i do if i never receive it,card_arrival
Will I have to wait much longer for my new card to arrive?,will i have to wait much longer for my new card to arrive,card_arrival
how to track the card you sent,how to track the card you sent,card_arrival
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,weeks ago i ordered my new card it isn t here what should i do,card_arrival
How can I check on the delivery status of my card?,how can i check on the delivery status of my card,card_arrival
"My card has not been delivered yet and its been a week since I ordered it, please help",my card has not been delivered yet and its been a week since i ordered it please help,card_arrival
What's the expected wait time to recieve my new card?,what s the expected wait time to recieve my new card,card_arrival
How can I see the progress of delivery of the card that was sent?,how can i see the progress of delivery of the card that was sent,card_arrival
"My card was supposed to arrive, but hasn't?",my card was supposed to arrive but hasn t,card_arrival
I ordered a card and would like to know how to track the delivery progress of it.,i ordered a card and would like to know how to track the delivery progress of it,card_arrival
How long will it take for me to get my card?,how long will it take for me to get my card,card_arrival
My card hasn't shown up yet.,my card hasn t shown up yet,card_arrival
Does the card you sent have a tracking number?,does the card you sent have a tracking number,card_arrival
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,my card hasn t arrived in the mail yet i ordered it two weeks ago what can i do,card_arrival
maximum how many days get the courier?,maximum how many days get the courier,card_arrival
Is there a reason my new card hasn't arrived yet?,is there a reason my new card hasn t arrived yet,card_arrival
"I've been waiting a while for my card, is there a way to know when it will arrive?",i ve been waiting a while for my card is there a way to know when it will arrive,card_arrival
How can I track my card's delivery?,how can i track my card s delivery,card_arrival
Can I track the card that was just sent to me?,can i track the card that was just sent to me,card_arrival
"If I ordered my new card last week, how much longer should I wait to receive it?",if i ordered my new card last week how much longer should i wait to receive it,card_arrival
"What's go on, where is my new card?",what s go on where is my new card,card_arrival
Where is my new card if I haven't received it yet?,where is my new card if i haven t received it yet,card_arrival
Where is my card?,where is my card,card_arrival
Can you tell me why I haven't received my new card yet?,can you tell me why i haven t received my new card yet,card_arrival
Is there a way to track my card?,is there a way to track my card,card_arrival
Is there a way to track the new card you sent me?,is there a way to track the new card you sent me,card_arrival
I'm still waiting for my card.,i m still waiting for my card,card_arrival
What do I need to do to get my new card which I have requested 2 weeks ago?,what do i need to do to get my new card which i have requested weeks ago,card_arrival
WHAT IS THE SOLUTION OF THIS PROBLEM,what is the solution of this problem,card_arrival
Could I get tracking on the card?,could i get tracking on the card,card_arrival
Can you help me track my card?,can you help me track my card,card_arrival
Shouldn't my new card be here by now?,shouldn t my new card be here by now,card_arrival
Is there a reason my new card hasn't arrived?,is there a reason my new card hasn t arrived,card_arrival
"I would like to track a card sent to me, how do I do that?",i would like to track a card sent to me how do i do that,card_arrival
Is there a tracking number for the card?,is there a tracking number for the card,card_arrival
can you share card tracking number?,can you share card tracking number,card_arrival
"I have not received my card and it's been a week, what do I do?",i have not received my card and it s been a week what do i do,card_arrival
Is there a way I can check on the card on route to me?,is there a way i can check on the card on route to me,card_arrival
When will my new card arrive?,when will my new card arrive,card_arrival
Why haven't I received my new card yet?,why haven t i received my new card yet,card_arrival
What is the expected delivery date of my card?,what is the expected delivery date of my card,card_arrival
My card hasn't came in the mail yet?,my card hasn t came in the mail yet,card_arrival
I haven't received my card.,i haven t received my card,card_arrival
Is it possible for me to track the card is was mailed to me?,is it possible for me to track the card is was mailed to me,card_arrival
When will my new card be delivered?,when will my new card be delivered,card_arrival
I was issued a card about a week ago. why hasn't it come in yet?,i was issued a card about a week ago why hasn t it come in yet,card_arrival
Can you please tell me where my card is? I ordered it 2 weeks ago!,can you please tell me where my card is i ordered it weeks ago,card_arrival
I still haven't received my card in the mail,i still haven t received my card in the mail,card_arrival
I'm still waiting for my card that was issued a week ago. What should I do?,i m still waiting for my card that was issued a week ago what should i do,card_arrival
I still haven't gotten my new card.  When will it get here?,i still haven t gotten my new card when will it get here,card_arrival
Do you have a tracking number for the card I was sent?,do you have a tracking number for the card i was sent,card_arrival
How do I track the card you sent to me?,how do i track the card you sent to me,card_arrival
Is my new bank card on the way and is there a way to track it?,is my new bank card on the way and is there a way to track it,card_arrival
Could you send me and up date on the arrival of my card?,could you send me and up date on the arrival of my card,card_arrival
How long does it take to recieve my new card?,how long does it take to recieve my new card,card_arrival
My card has not come in the mail yet.,my card has not come in the mail yet,card_arrival
What's the card you sent me's tracking number?,what s the card you sent me s tracking number,card_arrival
i havent got my card,i havent got my card,card_arrival
Why hasn't my card arrived yet?,why hasn t my card arrived yet,card_arrival
I thought I would have received my new card at this point.,i thought i would have received my new card at this point,card_arrival
How long until my new card gets here?,how long until my new card gets here,card_arrival
How much longer until I get my new card?,how much longer until i get my new card,card_arrival
Am I able to track a card that has already been sent?,am i able to track a card that has already been sent,card_arrival
Is it possible to track the card you sent me?,is it possible to track the card you sent me,card_arrival
How long will it be to get this new card?,how long will it be to get this new card,card_arrival
how can i track card you sent,how can i track card you sent,card_arrival
Can the card was sen to me be tracked?,can the card was sen to me be tracked,card_arrival
why have i not got my new card?,why have i not got my new card,card_arrival
I need to track the card sent to me.,i need to track the card sent to me,card_arrival
"It's been two weeks and I haven't gotten my card, what do I do?",it s been two weeks and i haven t gotten my card what do i do,card_arrival
I was expecting my new card by now.,i was expecting my new card by now,card_arrival
Where is the tracking number for the card?,where is the tracking number for the card,card_arrival
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,i was issued a new card a week ago but still haven t received it how long will it be until i receive it,card_arrival
Can I track the card that you sent me in the mail?,can i track the card that you sent me in the mail,card_arrival
Can you tell me if I can track the card you sent me?,can you tell me if i can track the card you sent me,card_arrival
Why have I not gotten my new card?,why have i not gotten my new card,card_arrival
I'm still waiting on my new card to be delivered!,i m still waiting on my new card to be delivered,card_arrival
My new card isn't here and it was issued a week ago.,my new card isn t here and it was issued a week ago,card_arrival
"I was supposed to receive my new card by now, but it hasn't came in.",i was supposed to receive my new card by now but it hasn t came in,card_arrival
Is a tracking number available for the card that was just sent?,is a tracking number available for the card that was just sent,card_arrival
Why haven't I gotten my new card?,why haven t i gotten my new card,card_arrival
Was there a number to track that I could get?,was there a number to track that i could get,card_arrival
How much longer is it going to take to get my new card?,how much longer is it going to take to get my new card,card_arrival
I haven't gotten my credit card in the mail.,i haven t gotten my credit card in the mail,card_arrival
My card hasn't arrived yet. What do I do?,my card hasn t arrived yet what do i do,card_arrival
"My card still hasn't arrived after two weeks, now what?",my card still hasn t arrived after two weeks now what,card_arrival
My card appears to have never arrived?,my card appears to have never arrived,card_arrival
My card never arrived.,my card never arrived,card_arrival
My card has been found. Is there any way for me to put it back into the app?,my card has been found is there any way for me to put it back into the app,card_linking
I was able to find my card. How to I go about putting it into my app?,i was able to find my card how to i go about putting it into my app,card_linking
how do I get my card to show in the app?,how do i get my card to show in the app,card_linking
I just got my card.  It's not linked yet--how do I do that?,i just got my card it s not linked yet how do i do that,card_linking
"lost card found, want to put it back in app",lost card found want to put it back in app,card_linking
"I just got a card, how can I add it to the app?",i just got a card how can i add it to the app,card_linking
Is there any way to see my card in the app?,is there any way to see my card in the app,card_linking
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,if i find a card i lost do i need to dispose of it or can i re active the card and continue to use it,card_linking
I found my card. How can I put it into my app?,i found my card how can i put it into my app,card_linking
How do I make my card show up in the app?,how do i make my card show up in the app,card_linking
Can you show me where to link the new card?,can you show me where to link the new card,card_linking
I found my old card. Can I link it back into the app?,i found my old card can i link it back into the app,card_linking
"Show me how to link the new card,",show me how to link the new card,card_linking
How do I add an existing card to the app?,how do i add an existing card to the app,card_linking
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,i finally got my card now i want to link it is that something you have to do or can i do that,card_linking
How do I link one of your card that I already have?,how do i link one of your card that i already have,card_linking
If I have a physical card can I link it?,if i have a physical card can i link it,card_linking
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,i found my lost card in my jacket pocket this morning so i d like to reactivate it please,card_linking
Can I add a card that I just found (again) to the app?,can i add a card that i just found again to the app,card_linking
How can I make my card show up in the app?,how can i make my card show up in the app,card_linking
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",i would like to re activate my card it was previously reported lost but i found it this morning,card_linking
"Okay, I found my card, can I put it back in the app?",okay i found my card can i put it back in the app,card_linking
Can I reactivate a card?,can i reactivate a card,card_linking
I would like to reactivate a card and wondered if that could be done?,i would like to reactivate a card and wondered if that could be done,card_linking
"I got my card now, how do I make it show up in the app?",i got my card now how do i make it show up in the app,card_linking
How do I link an existing card?,how do i link an existing card,card_linking
How do I link a new card in the app?,how do i link a new card in the app,card_linking
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",the card i thought was lost was just in my jacket so can i reactivate it since i found it this morning,card_linking
I already have a card and want to link it,i already have a card and want to link it,card_linking
Can you please reactivate my card?,can you please reactivate my card,card_linking
Where do I go to add a new card?,where do i go to add a new card,card_linking
I want my card I just received to show up in the app. How do I do that?,i want my card i just received to show up in the app how do i do that,card_linking
"I received my card, how do I get it to show in the app?",i received my card how do i get it to show in the app,card_linking
If I have a credit card with you how I get set up to link to it?,if i have a credit card with you how i get set up to link to it,card_linking
How do I add my new card?,how do i add my new card,card_linking
"I want to reactivate my card, I thought I had lost it but found it again this morning.",i want to reactivate my card i thought i had lost it but found it again this morning,card_linking
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",i need a card reactivation i had reported my card lost but i ran across it in my jacket,card_linking
My card is no longer lost. How do I enter it back into the app?,my card is no longer lost how do i enter it back into the app,card_linking
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",i want to reactivate my card i thought i had lost it but found it again in my jacket,card_linking
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",may i reactivate my card i previously reported it lost but have now found it safe and sound,card_linking
How do I reactivate a card I thought I lost?,how do i reactivate a card i thought i lost,card_linking
Help me figure out how to link the new card.,help me figure out how to link the new card,card_linking
I found my lost card. Am I still able to use it?,i found my lost card am i still able to use it,card_linking
Will I need a new card or can I put my old card back into the app?,will i need a new card or can i put my old card back into the app,card_linking
Is there a way to link the card i just got?,is there a way to link the card i just got,card_linking
How do I add a new card?,how do i add a new card,card_linking
"I want to reactivate my card, I found it after thinking it was lost.",i want to reactivate my card i found it after thinking it was lost,card_linking
Can I put my old card back in the app?,can i put my old card back in the app,card_linking
"I got a new card, how do I link it?",i got a new card how do i link it,card_linking
I found the card I thought I lost this morning. Can I reactivate this card?,i found the card i thought i lost this morning can i reactivate this card,card_linking
How do i go about linking a new card?,how do i go about linking a new card,card_linking
how do i get the card linked,how do i get the card linked,card_linking
"I have one of your cards, but I don't know how to link it.",i have one of your cards but i don t know how to link it,card_linking
how do I link an old card?,how do i link an old card,card_linking
I received my card. How do I link it to the app?,i received my card how do i link it to the app,card_linking
"Now that I have my card, how do I connect it to the app?",now that i have my card how do i connect it to the app,card_linking
How do I add the card I just received to show up in the app?,how do i add the card i just received to show up in the app,card_linking
"I want to reactivate my card, I thought I had lost it but I found it.",i want to reactivate my card i thought i had lost it but i found it,card_linking
What do I need to do to link my new card for my account?,what do i need to do to link my new card for my account,card_linking
Can I add a card to back into the app?,can i add a card to back into the app,card_linking
I want to link my new card. Can you help?,i want to link my new card can you help,card_linking
What is the process to link the new card?,what is the process to link the new card,card_linking
"I found my card, am I able to put it back into the app?",i found my card am i able to put it back into the app,card_linking
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",i have found my lost or stolen card would i still have to activate the new card that was sent to me through the mail in order to access my account,card_linking
Where can I link a new card?,where can i link a new card,card_linking
How do I add a card on to the app?,how do i add a card on to the app,card_linking
"I found my card in my jacket this morning, so can I reactivate it?",i found my card in my jacket this morning so can i reactivate it,card_linking
"I've obtained the card, how do I enable it on the app?",i ve obtained the card how do i enable it on the app,card_linking
I need to find the card I received in the app.,i need to find the card i received in the app,card_linking
How do I get my card on the app?,how do i get my card on the app,card_linking
"In the app, how can I make it show the new card that arrived?",in the app how can i make it show the new card that arrived,card_linking
How do I link my new card?,how do i link my new card,card_linking
Can I activate a card in the app?,can i activate a card in the app,card_linking
"I want to link to my card card with you, how?",i want to link to my card card with you how,card_linking
I would like to link my card to my account.,i would like to link my card to my account,card_linking
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",i thought i lost my card so i cancelled it but recently i found it in my jacket and i would like to re establish the card,card_linking
How can I link the new card?,how can i link the new card,card_linking
I got a new card and can't find where to link it.,i got a new card and can t find where to link it,card_linking
"Hey, I have my card, how do I get it to show in the app?",hey i have my card how do i get it to show in the app,card_linking
Where in the app do I go to make my new card show up?,where in the app do i go to make my new card show up,card_linking
Where do I scan my card?,where do i scan my card,card_linking
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,can i reactivate my card i reported it lost and found it this morning in my jacket,card_linking
Can I link my card I previously received?,can i link my card i previously received,card_linking
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",i want to reactivate my card i thought i had lost it but found it again in my jacket this morning,card_linking
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",i d lke my card reactivated i was thinking it was misplaced but i discovered when i woke up that i had left it in my coat,card_linking
You sent me a card and now I want to link it.,you sent me a card and now i want to link it,card_linking
How do I add my new card to the app?,how do i add my new card to the app,card_linking
Can I add a card back to the app?,can i add a card back to the app,card_linking
What if I want to add a card I already have to the app?,what if i want to add a card i already have to the app,card_linking
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",i recently reported my card as missing lost and i just found it can i still use it,card_linking
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",could i reactivate my card please i couldn t find it but it turns out it was in my jacket pocket,card_linking
Is there a way to link cards if I have one of yours?,is there a way to link cards if i have one of yours,card_linking
If my card was lost or stolen can I re-link it?,if my card was lost or stolen can i re link it,card_linking
How do I link a new card to an existing one?,how do i link a new card to an existing one,card_linking
How do I link a new payment card?,how do i link a new payment card,card_linking
I would like to reactivate my card that I previously reported lost. I located the card this morning.,i would like to reactivate my card that i previously reported lost i located the card this morning,card_linking
"Card has been received, how will it show up on the app?",card has been received how will it show up on the app,card_linking
Can I re-link a lost card with the app?,can i re link a lost card with the app,card_linking
What do I do to link my new card?,what do i do to link my new card,card_linking
Is it possible to link a new card?,is it possible to link a new card,card_linking
I deactivated my card but would like to reactivate it.,i deactivated my card but would like to reactivate it,card_linking
"I found my card that I thought I had lost, I need to reactive it, please help.",i found my card that i thought i had lost i need to reactive it please help,card_linking
can I link a card of yours I already have?,can i link a card of yours i already have,card_linking
Can I put my found card back into the app on my phone?,can i put my found card back into the app on my phone,card_linking
"My card arrived but I need to make it work in the app, how do I do that?",my card arrived but i need to make it work in the app how do i do that,card_linking
"I found the card that I thought I lost, and I would like to reactivate it.",i found the card that i thought i lost and i would like to reactivate it,card_linking
I found my card again. Can I put it back into the app?,i found my card again can i put it back into the app,card_linking
I need some help linking my new card.,i need some help linking my new card,card_linking
help me link my card,help me link my card,card_linking
How do I link my card in the app.,how do i link my card in the app,card_linking
How do I get my card into the app?,how do i get my card into the app,card_linking
I found my card! Can I link it back into the app?,i found my card can i link it back into the app,card_linking
How do I reactivate my card?,how do i reactivate my card,card_linking
Where do I go to get my new card linked?,where do i go to get my new card linked,card_linking
"I thought I lost my card but I found it today, so I would like to reactivate it.",i thought i lost my card but i found it today so i would like to reactivate it,card_linking
How do I link the new card that I just got from you guys?,how do i link the new card that i just got from you guys,card_linking
How can I add a new card?,how can i add a new card,card_linking
Can you tell me how to get my card on the app?,can you tell me how to get my card on the app,card_linking
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,is it possible to reactivate the card i thought i lost but found this morning in my jacket,card_linking
How do I make my card appear on the app?,how do i make my card appear on the app,card_linking
How do I link the new card?,how do i link the new card,card_linking
Where in the app do I link a new card?,where in the app do i link a new card,card_linking
How do I add my card to the app once I get it?,how do i add my card to the app once i get it,card_linking
Can I link your physical card,can i link your physical card,card_linking
How do I activate and link my new card?,how do i activate and link my new card,card_linking
"I got a card, how do I get it in the app?",i got a card how do i get it in the app,card_linking
I received my new card.  Where is it in the app?,i received my new card where is it in the app,card_linking
"I found my card, how can I use it again?",i found my card how can i use it again,card_linking
"I just received a new card, where do I go to link it to my account?",i just received a new card where do i go to link it to my account,card_linking
"found card, how to put it back in app",found card how to put it back in app,card_linking
How do I see my card in the app?,how do i see my card in the app,card_linking
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",the card i thought i lost was in my jacket pocket this morning so can i reactivate that,card_linking
I don't see my card anywhere in the app.,i don t see my card anywhere in the app,card_linking
"I received my card, how do I get it to work in the app?",i received my card how do i get it to work in the app,card_linking
What do I do if I already had a card with you guys?,what do i do if i already had a card with you guys,card_linking
if i found a lost card can i put it back in app,if i found a lost card can i put it back in app,card_linking
I have a card that was deactivated can I reactivate it?,i have a card that was deactivated can i reactivate it,card_linking
"My new card isn't in my app, how do I get it in there?",my new card isn t in my app how do i get it in there,card_linking
Help me access the card I already got so I can information from it.,help me access the card i already got so i can information from it,card_linking
What is my money worth in other countries?,what is my money worth in other countries,exchange_rate
Will my money be of equal value when I travel abroad?,will my money be of equal value when i travel abroad,exchange_rate
Do you know the rate of exchange?,do you know the rate of exchange,exchange_rate
What foreign exchange rate will I get on weekdays and on the weekends?,what foreign exchange rate will i get on weekdays and on the weekends,exchange_rate
What is the exchange looking like?,what is the exchange looking like,exchange_rate
How is the exchange rate doing?,how is the exchange rate doing,exchange_rate
I would like to know how exchange rates are calculated when transferring funds.,i would like to know how exchange rates are calculated when transferring funds,exchange_rate
I would like to know what exchange rates you use?,i would like to know what exchange rates you use,exchange_rate
"If I need to cash foreign transfers, how does that work?",if i need to cash foreign transfers how does that work,exchange_rate
Do you know what your exchange rates are?,do you know what your exchange rates are,exchange_rate
How do I know what exchange rate I will get?,how do i know what exchange rate i will get,exchange_rate
What are you exchange rates?,what are you exchange rates,exchange_rate
Do you have the best exchange rate?,do you have the best exchange rate,exchange_rate
Where can I find your exchange rates?,where can i find your exchange rates,exchange_rate
Your exchange rates come from where?,your exchange rates come from where,exchange_rate
I need to know what your exchange rates are.,i need to know what your exchange rates are,exchange_rate
What's the process for exchanges?,what s the process for exchanges,exchange_rate
What do you think of the exchange rate?,what do you think of the exchange rate,exchange_rate
How are exchange rates calculated at this bank?,how are exchange rates calculated at this bank,exchange_rate
What do you use to figure out the exchange rate for the card?,what do you use to figure out the exchange rate for the card,exchange_rate
What's the foreign exchange rate I will receive?,what s the foreign exchange rate i will receive,exchange_rate
I need to know what foreign exchange rate I can get.,i need to know what foreign exchange rate i can get,exchange_rate
What are the current exchange rates?,what are the current exchange rates,exchange_rate
What exchange rate will I receive?,what exchange rate will i receive,exchange_rate
What is the basis of your exchange rates?,what is the basis of your exchange rates,exchange_rate
How's the exchange rate?,how s the exchange rate,exchange_rate
How do you determine your exchange rates?,how do you determine your exchange rates,exchange_rate
How do the foreign exchange rates work?,how do the foreign exchange rates work,exchange_rate
Where are you getting your exchange rates from?,where are you getting your exchange rates from,exchange_rate
How is the exchange rate calculated?,how is the exchange rate calculated,exchange_rate
I'm interested in what your exchange rates are based on.,i m interested in what your exchange rates are based on,exchange_rate
How do you decide what the exchange rates are?,how do you decide what the exchange rates are,exchange_rate
What is the current exchange rate?,what is the current exchange rate,exchange_rate
What is the formula for your exchange rate?,what is the formula for your exchange rate,exchange_rate
What method do you use for the exchange rate?,what method do you use for the exchange rate,exchange_rate
What are Interbanks current exchange rates?,what are interbanks current exchange rates,exchange_rate
from where are coming your exchange rates?,from where are coming your exchange rates,exchange_rate
How do you calculate exchange rates?,how do you calculate exchange rates,exchange_rate
Why is your exchange rate different on different days?,why is your exchange rate different on different days,exchange_rate
Where can I find the exchange rate for my transfer?,where can i find the exchange rate for my transfer,exchange_rate
Where can I get your exchange rates from?,where can i get your exchange rates from,exchange_rate
How do you find the exchange rate?,how do you find the exchange rate,exchange_rate
How are exchange rates determined?,how are exchange rates determined,exchange_rate
What value can I get for my currency?,what value can i get for my currency,exchange_rate
Please explain your exchange rate policy.,please explain your exchange rate policy,exchange_rate
What are your exchange rates calculated from?,what are your exchange rates calculated from,exchange_rate
What is an exchange rate?,what is an exchange rate,exchange_rate
What is your opinion on the exchange rate?,what is your opinion on the exchange rate,exchange_rate
What are the exchange rates you assign?,what are the exchange rates you assign,exchange_rate
How do you determine exchange rates?,how do you determine exchange rates,exchange_rate
How are your exchange rates calculated?,how are your exchange rates calculated,exchange_rate
How is an exchange rate calculated?,how is an exchange rate calculated,exchange_rate
"When exchanging, how much are the rates?",when exchanging how much are the rates,exchange_rate
What is the exchange rate for EUR?,what is the exchange rate for eur,exchange_rate
How can I find your exchange rates?,how can i find your exchange rates,exchange_rate
Could you please tell me your exchange rates?,could you please tell me your exchange rates,exchange_rate
Is there an exchange rate?,is there an exchange rate,exchange_rate
How does the exchange rate work?,how does the exchange rate work,exchange_rate
What is the present state of the exchange rate?,what is the present state of the exchange rate,exchange_rate
How are foreign exchange rates determined?,how are foreign exchange rates determined,exchange_rate
How's the exchange rate looking right now?,how s the exchange rate looking right now,exchange_rate
Please explain the exchange rates.,please explain the exchange rates,exchange_rate
What is the foreign exchange rate you will apply?,what is the foreign exchange rate you will apply,exchange_rate
explain the interbank exchange rate,explain the interbank exchange rate,exchange_rate
What will my exchange rate be?,what will my exchange rate be,exchange_rate
how do you get exchange rates,how do you get exchange rates,exchange_rate
What exchange rates do you use?,what exchange rates do you use,exchange_rate
How will I know what the exchange rate is?,how will i know what the exchange rate is,exchange_rate
What factors effect the exchange rate?,what factors effect the exchange rate,exchange_rate
Where does the exchange rate stand right now?,where does the exchange rate stand right now,exchange_rate
I'd like to know what the foreign exchange rate will be.,i d like to know what the foreign exchange rate will be,exchange_rate
Does the exchange rate change?,does the exchange rate change,exchange_rate
How do your exchange rates factor in?,how do your exchange rates factor in,exchange_rate
Will I know which exchange rate I will get?,will i know which exchange rate i will get,exchange_rate
How do I know what the exchange rate will be when I make an exchange.,how do i know what the exchange rate will be when i make an exchange,exchange_rate
Is the exchange rate the same on weekends as the weekdays?,is the exchange rate the same on weekends as the weekdays,exchange_rate
How do you do exchanges?,how do you do exchanges,exchange_rate
On what do you base your exchange rates?,on what do you base your exchange rates,exchange_rate
How do you come up with your exchange rate,how do you come up with your exchange rate,exchange_rate
What factors determine your exchange rate?,what factors determine your exchange rate,exchange_rate
How are the exchange rates determined?,how are the exchange rates determined,exchange_rate
I would like to know what your exchange rates are.,i would like to know what your exchange rates are,exchange_rate
Is the exchange rate current?,is the exchange rate current,exchange_rate
What are the exchange rates?,what are the exchange rates,exchange_rate
How much are the rates of exchange?,how much are the rates of exchange,exchange_rate
How do you decide what your exchange rates are?,how do you decide what your exchange rates are,exchange_rate
Your exchange rates are coming from where?,your exchange rates are coming from where,exchange_rate
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,is there a specific source that the exchange rate for the transfer i m planning on making is pulled from,exchange_rate
How are the exchange rates for transfers calculated?,how are the exchange rates for transfers calculated,exchange_rate
How do I know how much money I will have when I travel abroad?,how do i know how much money i will have when i travel abroad,exchange_rate
